,nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
107,0.033,0.034,0.026,0.75,0.1,9,0.15,0.06,0.4,0.075,40,0.7758,0.0221
108,0.033,0.034,0.026,0.75,0.1,9,0.15,0.06,2.0,0.075,8,0.5377,0.0147
109,0.033,0.034,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,40,1.0398,0.0771
110,0.033,0.034,0.026,0.75,0.3,3,0.15,0.1,2.0,0.075,8,0.5243,0.0098
111,0.033,0.0204,0.026,0.75,0.1,3,0.15,0.1,1.2,0.075,40,0.9102,0.0657
112,0.033,0.034,0.026,0.75,0.5,9,0.15,0.1,1.2,0.075,8,0.5179,0.0185
113,0.033,0.034,0.026,0.75,0.5,3,0.15,0.02,1.2,0.075,40,1.0035,0.0292
114,0.033,0.034,0.026,0.75,0.5,3,0.15,0.02,2.0,0.075,24,0.7493,0.0186
115,0.033,0.034,0.026,0.75,0.3,3,0.15,0.06,1.2,0.075,40,1.0237,0.0193
116,0.033,0.034,0.026,0.75,0.3,3,0.15,0.06,2.0,0.075,24,0.7582,0.0033
117,0.033,0.034,0.078,0.75,0.3,3,0.15,0.02,2.0,0.075,24,0.7141,0.0388
118,0.033,0.034,0.026,0.45,0.5,3,0.15,0.06,1.2,0.075,40,0.5999,0.0139
119,0.033,0.034,0.026,0.75,0.3,9,0.15,0.02,1.2,0.075,40,1.1887,0.0445
120,0.033,0.034,0.026,0.75,0.3,9,0.15,0.1,1.2,0.075,24,0.8497,0.0054
121,0.033,0.034,0.026,0.75,0.3,3,0.15,0.1,2.0,0.075,24,0.7496,0.0389
122,0.099,0.034,0.026,0.75,0.5,3,0.15,0.02,1.2,0.075,40,1.0153,0.0352
123,0.033,0.034,0.078,0.75,0.5,3,0.15,0.1,2.0,0.075,8,0.4585,0.0164
124,0.033,0.034,0.078,0.75,0.5,3,0.15,0.1,1.2,0.075,24,0.641,0.011
125,0.099,0.034,0.026,0.75,0.5,3,0.15,0.1,2.0,0.075,8,0.4374,0.0081
126,0.033,0.034,0.026,0.75,0.5,3,0.15,0.02,2.0,0.225,24,0.7063,0.0175
127,0.033,0.034,0.026,0.75,0.5,3,0.15,0.1,2.0,0.225,8,0.4925,0.0112
128,0.033,0.034,0.026,0.75,0.5,9,0.15,0.02,1.2,0.075,40,1.0668,0.0087
129,0.033,0.034,0.026,0.75,0.3,9,0.15,0.06,1.2,0.075,40,1.1033,0.0156
130,0.033,0.034,0.078,0.75,0.5,3,0.15,0.06,1.2,0.075,40,0.8882,0.0317
131,0.033,0.034,0.026,0.75,0.3,3,0.15,0.02,2.0,0.225,40,1.0518,0.0347
132,0.033,0.034,0.026,0.75,0.5,3,0.15,0.06,1.2,0.225,40,0.9854,0.0133
